_checksum,_id,name,official_name,citizen_names,start_date,end_date
162041fef6217ca469b1ebb40176089df6f94354fabd801fcf0288ec000d1f01334c,ADU,Adur,Adur District Council,,,
1620455d520e370b076f4ebc9fc24d51498ff0bb06bfb35ae1ed01e8cbc22d63be29,ALL,Allerdale,Allerdale Borough Council,,,
16204e55506a30500517766e5ab776fcad31be29212e9dba36fbe3d85258691877cb,AMB,Amber Valley,Amber Valley Borough Council,,,
16205b544c2a5f5d65670abfa8e10ed99ac9c76b4130704e81abd09ca9dd7c696677,ARU,Arun,Arun District Council,,,
1620be663056e4e08419349f7a8f0b1e0609acff6ff4144c11a3365a69e0900485d0,ASF,Ashford,Ashford Borough Council,,,
16201acb5ca29ac9e043fe935827a8b9cdef21f913f3eb904042feb1e7f07c6bdffc,ASH,Ashfield,Ashfield District Council,,,
162046580b61779cab1e669e7e8551f3f7ee725e2d41fad7d30254bc294a65e7a072,AYL,Aylesbury Vale,Aylesbury Vale District Council,,,
1620357517dbfe26df732f3ec340b71d793b945431f63cf01edb4196ec8de3ef50bc,BAB,Babergh,Babergh District Council,,,
1620bb769fa5b515036e510638d1a6883dd5db471a2038bb7abae67b28cc3a37120f,BAE,Bassetlaw,Bassetlaw District Council,,,
1620b5b1f72867752575ce647b9e968c7ea8a95bc4ef54224f6283d15f646e7c4556,BAI,Basildon,Basildon Borough Council,,,
1620dda07d212341276355604d005507eb60147ae1403a89e9f72fb0ef4449b9361f,BAN,Basingstoke and Deane,Basingstoke and Deane Borough Council,,,
162076e24c98d7ed2f76be718c6d16feb9f322160306fe626f1ecbe1a21735cb3deb,BAR,Barrow-in-Furness,Barrow-in-Furness Borough Council,,,
1620860b75d1c41f311f13d674c06a9069fc5306da6c7a48b25b791a39728ebe74e1,BAS,Bath and North East Somerset,Bath and North East Somerset Council,,1996-04-01,
16200a2933281ceb4b17be1b224074b0d2047a2c4cf6a2be4c4bf96dff3e518bf15a,BBD,Blackburn with Darwen,Blackburn with Darwen Borough Council,,1998-04-01,
1620ea07f5951fac6f3fdd9c6cb7610f6eedc3803551627ce452b986bb9a4283e071,BDF,Bedford,Bedford Borough Council,,2009-04-01,
1620abe81d520ea4a377a55b7e603d3fce2aa54cb097f7189d0bd80335c3a6d2aee9,BDG,Barking and Dagenham,London Borough of Barking and Dagenham,,,
162063e311d1d9c54f67fd94371d6c9b5c50bb818c857c4e0535aed0dca91bcb6e55,BEN,Brent,London Borough of Brent,,,
162059a2bb794b52947d3b6f16666540ada54ce0f31193d446ad4560329870d60cfa,BEX,Bexley,London Borough of Bexley,,,
1620926f68b0e681583b02a0973d3c04f51d77882bf8be9512e9b9d2323bf9658def,BIR,Birmingham,Birmingham City Council,,1986-07-01,
1620b69a03dc1d501a98cd57e30af2a31019c66f534ae00eb4531bde08efc3dedbfa,BKM,Buckinghamshire,Buckinghamshire County Council,,1905-06-19,
16200f7233f01d84ac635489266d024e235c5efafc77a631614f892663f1c8aeb00f,BLA,Blaby,Blaby District Council,,,
1620cf4bd9c786723599450b6b4825700e587b30f8fe002a194a35caefc83b8aa93b,BMH,Bournemouth,Bournemouth Borough Council,,1905-06-19,2019-03-31
1620b3b7f8888f4ac0943f32a172c93fde59b1a2d634a222d75804c758ffe43803b9,BNE,Barnet,London Borough of Barnet,,,
16203483bb48ea3878081cfe8681e66dbccdb92ea89087bb47d11159aa95044eeded,BNH,Brighton and Hove,Brighton and Hove City Council,,1905-06-19,
16207e593ce776a0cf221130e54a3257c887d482d03045419a272f5330a513877fdc,BNS,Barnsley,Barnsley Metropolitan Borough Council,,1974-04-01,
1620e74b6c259a2014aae996e1bada93889b7cb188049e414052fba7d5610a53e0ff,BOL,Bolton,Bolton Metropolitan Borough Council,,1974-04-01,
1620227fe09119c344084b67efa32ded9a7723c78bf80e7fcc38f086722e0a421d19,BOS,Bolsover,Bolsover District Council,,,
16201ca32a585ef604bbdfe71b6805b6fe2a757105437eabe74a11d2846bdecb939d,BOT,Boston,Boston Borough Council,,,
1620d579150210e3580694db8ccd27c2560b0d6c4b413b6fc0e9c4a14fd0f930e61b,BPC,"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole Council",,2019-04-01,
1620f1c1c20a50d8475e504e7a733c9cfd58d1ea90124b8ee3221af436acf1760619,BPL,Blackpool,Blackpool Borough Council,,1905-06-20,
1620c84f00c00a8baf1bf98eea91ef520307a4b534f0812902bf2013cfde30a9fbfc,BRA,Braintree,Braintree District Council,,,
